Restaurant,Plat,Preu,Tags,Ingredients,Scraped_At
Incorrecte,"Guatlla farcida amb escabetx fumat, bolets confitats i escarola","21,50€","Farcit,Caça,Olla,Bolets,Escabetx,Fumat,Confitat,Temporada de tardor/hivern,Plat principal,Cuina mediterrània,Cuina tradicional catalana,Plat elaborat,Textures","Guatlla,Carn picada (per al farciment),Foie gras (opcional, per al farciment),Fruita seca (prunes, panses, pinyons, ametlles - per al farciment),Herbes aromàtiques (timó, romaní, llorer),Ceba,All,Pebre,Sal,Oli d'oliva verge extra,Vinagre de vi negre,Vi ranci o xerès,Pastanaga,Bledes (per al escabetx),Peperons (per al escabetx),Fum líquid o vitriol (per al escabetx fumat),Bolets (tipus variat: xampinyons, shitakes, portobellos, etc.),Oli d'oliva (per confitar),All (per confitar),Herbes aromàtiques (timó, llorer - per confitar),Escarola",2025-09-24T17:39:14.139399
Incorrecte,Cargols amb sobrassada i all i oli de sobrassada,"18,50€","tapas,aperitiu,cuina espanyola,cuina mallorquina,plat contundent,plat de temporada,sobrassada,cargols,all i oli,picant","cargols,sobrassada,all,oli d'oliva,sal,pebre,julivert (opcional),pebre vermell (opcional)",2025-09-24T17:39:15.172046
Incorrecte,Calamarets farcits de botifarra del perol amb salsa de la seva tinta i textures de coliflor,"19,50€","marisc,tapes,plat principal,cuina catalana,farcit,salsa de tinta,coliflor,botifarra,textura","calamarets,botifarra del perol,salsa de la seva tinta,coliflor,ceba,all,tomàquet,oli d'oliva,vi blanc,sal,pebre,julivert,farina",2025-09-24T17:39:16.768902
Incorrecte,"Carbassó amb all blanc, mostassa en gra, papada i praliné d'ametlla","17,50€","vegetarià,carns,postres,aperitiu,plat principal,estiu,fresc,salat,dolç,cruixent,suau,d'autor,tapes","carbassó,all blanc,mostassa en gra,papada,ametlla,oli d'oliva,sal,pebre",2025-09-24T17:39:17.891292
Incorrecte,"Rosbif de senglar amb espàrrecs verds, tikka masala català, cacauet i chimichurri d'algues","19,00€","plat principal,carn de caça,fusió,català,indi,asiàtic,sud-americà,modern,gourmet,exòtic,espàrrecs,senglar,rosbif,tikka masala,chimichurri,algues,cacauet","senglar (rostit),espàrrecs verds,tomàquet,ceba,all,gingebre,llet de coco,iogurt natural,garam masala,curri en pols,cúrcuma,pebre vermell (dolç i picant),oli vegetal,sal,cacauets, julivert,cilantre,orenga,mongetes,vinagre,oli d'oliva,algues (diverses varietats),suc de llimona,bitxo",2025-09-24T17:39:19.899556
Incorrecte,"Caneló de llebre amb beixamel, flor de cacau i bolets","20,00€","caneló,llebre,caça,beixamel,salses,cacau,bolets,pastes,plat principal,cuina tradicional,gourmet,interpretació moderna","Pasta de caneló,Llebre,Carn de porc (per al farcit, opcional),Verdures (ceba, pastanaga, api, all),Vi negre,Oli d'oliva,Sal,Pebre negre,Farina,Llet,Mantega,Nou moscada,Flor de cacau (probablement en pols o com a element decoratiu amb gust de cacau),Bolets (varietat a determinar, per exemple, camagrocs, rossinyols, ceps),Salseta de bolets (opcional, per acompanyar)",2025-09-24T17:39:21.754380
Incorrecte,Gamba vermella mitjana,"26,00€","Marisc,Peix,Cuina marinera,Entrant,Plat principal,Salat,D'aprofitament,Tapes,Producte fresc,Temporada","Gamba vermella,Sal",2025-09-24T17:39:22.835190
Incorrecte,"Esqueixada de llobarro amb tomàquet cherry, tomàquet de Montserrat, oliva negra i escarola","17,00€","esqueixada,peix,llobarro,peix blanc,verdures,amanida,plat fred,plat lleuger,plat mediterrani,fresc,estiu,productes de proximitat,Catalunya","llobarro,tomàquet cherry,tomàquet de Montserrat,oliva negra,escarola,oli d'oliva verge extra,sal,vinagre (opcional)",2025-09-24T17:39:24.442794
Incorrecte,"Caneló de pollastre rostit amb escamarlans curats, pa amb mantega i beixamel.","19,00€","plat principal,català,tradicional,pasta,aus,marisc,cremós,confort food, Nadal","caneló,pollastre rostit,escamarlans curats,pa,mantega,beixamel,oli d'oliva,sal,pebre",2025-09-24T17:39:25.400566
Incorrecte,Calamarets farcits de botifarra del perol amb salsa de la seva tinta i textures de coliflor,"19,50€","plat principal,peix,mar i muntanya,tradicional,català,elaborat,recepta de temporada,plat d'ocasió","Calamarets,Botifarra del perol,Ceba,Tomàquet triturat,Oli d'oliva verge extra,Sal,Pebre negre,Farina,Ous,Pa ratllat,Vi blanc,All,Julivert,Tinta de calamar,Coliflor",2025-09-24T17:39:26.576717
